condition,description,address,price,image
D'occasionChevrolet2015Automatique,Chevrolet Captiva 2015 7 places,Guediawaye                                                                                 Dakar,6200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e9eee54318f6de698a1d22f4d773997/-/horizon-files-prod/ed/picture/q9mjwmzp/00f6f1a4bd0dcbdab388f7162676661a54a99b82.jpg
VenantKia2016Automatique,kia sportage,Parcelles Assainies                                                                                 Dakar,9500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e56d6017a913bb46ba1b174566a0c71c/-/horizon-files-prod/ed/picture/q78wm8e5/536897aaee26b46e29bf560bdd05dea6c5f3092c.jpg
D'occasionFord2015Automatique,Ford Edge SEL 2015 FULLs Options,Sicap Sacré-cœur                                                                                 Dakar,7700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/682e5e492385f85fb2825ca35ae53c78/-/horizon-files-prod/ed/picture/qv4wq6zv/fbb2843ef6958e942f4f773c4d14d2c0c92ab0b4.jpg
VenantHyundai2017Automatique,HYUNDAI SANTA FE 2017 Fulls Options,Sicap Sacré-cœur                                                                                 Dakar,10700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b8f8466350c279bbe6f9a35524a4093/-/horizon-files-prod/ed/picture/qq4285mw/07f07576659b35d3b94883ad910f3b30804c3477.jpg
VenantNissan2017Automatique,NISSAN ROGUE SV AWD 2017,Cité Damel                                                                                 Dakar,9200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d9d370600267682155ed88e65d1168e/-/horizon-files-prod/ed/picture/qzvp5rm8/1dae14ce1fb66c0dffb5b04121a22cef4541c3a0.jpg
VenantRange Rover2016Automatique,Range Rover Sport HSE,Sicap foire                                                                                 Dakar,20500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4c9f48d39b4abb78c0b9b09d63080967/-/horizon-files-prod/ed/picture/qv4wqqdg/660e853811e420dc8f33cb9712febbc304e423a5.jpg
VenantRange Rover2016Automatique,Range Rover Sport Diesel ⛽️,Sicap foire                                                                                 Dakar,20500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b676c60580557d289466580f7160e0d8/-/horizon-files-prod/ed/picture/q0g7zzk8/65ec334900d195a31cd9358a9642d698a67ccac7.jpg
VenantHyundai2017Automatique,Hyundai Elantra 2017,Sicap foire                                                                                 Dakar,6400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eca05d47b5e494718e002cf5e45476fe/-/horizon-files-prod/ed/picture/qm5g9new/a997c9a34d8e657899e1a84e5e156a806c5d46d4.jpg
NeufKia2016Automatique,Kia,Colobane                                                                                 Dakar,8500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/513fb24db9a200a03e7e01d08e1dd1a6/-/horizon-files-prod/ed/picture/qpdmq84x/7335be876312183bb2f43e3855e937cbc6b566a8.jpg
NeufCitroen2016Manuelle,citroen c4-picasso 2016,Hlm                                                                                 Dakar,4000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f00064ee83ef729667d962ad80501a18/-/horizon-files-prod/ed/picture/q8v4xmrr/28172f94cef500a15ba3acdf602c5d946af37e06.jpg
RéconditionnéChevrolet2010Automatique,Chevrolet  2010,Thiès                                                                                 Thiès,2600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c103d0e1d1cf5bf1ca8739c8205618f8/-/horizon-files-prod/ed/picture/qv4wgw95/32e873b71d61d77e7baaf2f539662473ea734626.jpg
NeufFord2016Automatique,Ford Fusion Titanium 2016,Cité Damel                                                                                 Dakar,7000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/76dd86d47a5cbbc09c2780365c8b8bf1/-/horizon-files-prod/ed/picture/qm5g9n7w/3b5dbb976afce4230d6c2157bd24f2f7b6f0b2a3.jpg
D'occasionNissan2014Manuelle,Nissan Juke 2014,Mbour                                                                                 Thiès,4000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72664661776e5920c25826426a833cf1/-/horizon-files-prod/ed/picture/q9mj6g9v/9c2386d5f7b9c38652418f578b2cb26deffefbf2.jpg
VenantToyota2022Automatique,TOYOTA RAV 4 2022,Sacré-cœur                                                                                 Dakar,22000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5b0f51b70011c03cbfeca07a7a447bed/-/horizon-files-prod/ed/picture/q0g70d68/2f3d2e6b4f412bd3af0919b609e9d87c1b523d8a.jpg
NeufFord2012Automatique,Ford,Colobane                                                                                 Dakar,2800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e519135129554722077e478121cb72f5/-/horizon-files-prod/ed/picture/qwep5wxj/8728b7d20a59e545bb8b3033dbf7b6cdcc51217b.jpg
NeufFord2016Automatique,Ford Fusion 2016 2.0L full option,Cité Damel                                                                                 Dakar,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abba053f5df78a3c33c48f6613183661/-/horizon-files-prod/ed/picture/q9mj6gzn/d9a0a3c2b5fab461413808681269f6cd0c42b086.jpg
NeufFord2013Automatique,Fored,Colobane                                                                                 Dakar,3200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a96b593a9312eca8d3f561f109b07cd5/-/horizon-files-prod/ed/picture/q6xd45wd/b97b1eccbab63518aadb1f330d94b3f6dd24dac9.jpg
VenantMercedes-Benz2020Automatique,Mercedes GLC 300 2020,Sacré-cœur                                                                                 Dakar,36000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0bfbf00b2f46213e4a4b6f609c70390f/-/horizon-files-prod/ed/picture/qxjpeq9m/ca2857cb845fb306057f9a7dac9d070c030ebfbb.jpg
VenantBMW2019Automatique,X5 packM version plus full options,Liberte 6                                                                                 Dakar,34000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/acf11b6461dea46a1e557df48cc8fbd4/-/horizon-files-prod/ed/picture/q8v4dk0z/15d13d81d41f1edd8e186f5701eda5e30ae526e8.jpg
VenantBMW2019Automatique,BMW série 7 pack M,Liberte 6 extension                                                                                 Dakar,27000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f63068c2e6c3001b6d44d76cefa12f60/-/horizon-files-prod/ed/picture/qgqwze6n/3d4d98d10c557b40fab3d7721ec38c22fc847a5c.jpg
VenantMazda2017Automatique,Cx5 2017 jamais accidentée,Liberte 6                                                                                 Dakar,11500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c3a054d0f3da81f8a02bbf124788d5c6/-/horizon-files-prod/ed/picture/q0g7ze5w/59b6c64dfda796704c43f971c21707c5c61aa5b2.jpg
