conditions,brand,year,adress,price,image
DCF,Moto,2020,Sebikotane                                                                                 Dakar,5500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1819f68666f2d095cd9f07e776b6494c/-/horizon-files-prod/ed/picture/q8v4xkwz/c1a1f177dbb06572e79b9ae2737d399fa66fe9d1.jpg
Neuf,Husqvarna,2024,Plateau                                                                                 Dakar,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f16841f878d2e0202ebc90941f0f481/-/horizon-files-prod/ed/picture/qrz846e8/1f127a08fc81eb35f70f8d88bda3b41dd7be7f23.jpg
Neuf,BMW,2024,Ngaparou                                                                                 Thiès,17000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b965763518c4157133f29a5c24248d0e/-/horizon-files-prod/ed/picture/qwep52x0/c01c6ffd90a1bafe59362e20d082f00174f0e911.jpg
Neuf,BMW,2023,Cité keur gorgui                                                                                 Dakar,3500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b271716c881559f3d1ae5709589aaf0/-/horizon-files-prod/ed/picture/q44npw02/71c7246895be7e70feae0751edfc3e19103dd396.jpg
D,Harley,Davidson,Almadies                                                                                 Dakar,13500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a71e5068ee224fa38024c0e378f33b2/-/horizon-files-prod/ed/picture/qde7j082/f41bb8d0d02ca9fbe4ed0343e13040fe001f4e42.jpg
Neuf,Autre,1920,Grand-Dakar                                                                                 Dakar,18500 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42609bd174d635a703393e1ec7fb6fa7/-/horizon-files-prod/ed/picture/qrdkpj8/e1a89bca668421d2f38126279d22a249e71a3117.png
Neuf,Honda,2022,Bel air                                                                                 Dakar,1200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1556970dd5323744b598d270244b8427/-/horizon-files-prod/ed/picture/qm5g9pqz/1468727fddcf3675df89a5eb2a92cecb413afeed.jpg
Venant,BMW,2024,Hann maristes                                                                                 Dakar,8500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8a1cb80c3ae25561f5f878221630d3e5/-/horizon-files-prod/ed/picture/qkr8q90v/203dd5336840266fdc3ee692572876213b9b03bb.jpg
Venant,Honda,2009,Thiès                                                                                 Thiès,950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35eeb7f1139d425ba0ac95476c8bc0ed/-/horizon-files-prod/ed/picture/q8v4dgkr/6156b5f35df484435baadeae28df51196a9da205.jpg
D,Honda,2021,Liberte 6 extension                                                                                 Dakar,1300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ff7a1944db2353e889a66b68a4e4339/-/horizon-files-prod/ed/picture/qj4qwk2v/d8d8b33961d4a75ff912c88c8d8fb669d7ff3961.jpg
