conditions,brand,year,gearbox,adress,price,image
Venant,Ford,2016,Automatique,Cite Mixta                                                                                 Dakar,5200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c8db199ab84a85e5b38edaf658f3361/-/horizon-files-prod/ed/picture/qxjpxnn0/e5a75d7c5b3ee21342fe26fd2f8282798932a444.jpg
Venant,Ford,2016,Automatique,Hlm grand-yoff                                                                                 Dakar,4700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4936537a2b0a7a4db253998403f8d8dd/-/horizon-files-prod/ed/picture/qm5gnv4w/9e940b4fc6933e46fc81d1824649a4f5b43e530a.jpg
D'occasion,Ford,2015,Automatique,Sicap Sacré-cœur                                                                                 Dakar,7700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/682e5e492385f85fb2825ca35ae53c78/-/horizon-files-prod/ed/picture/qv4wq6zv/fbb2843ef6958e942f4f773c4d14d2c0c92ab0b4.jpg
Venant,Hyundai,2017,Automatique,Sicap Sacré-cœur                                                                                 Dakar,10700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b8f8466350c279bbe6f9a35524a4093/-/horizon-files-prod/ed/picture/qq4285mw/07f07576659b35d3b94883ad910f3b30804c3477.jpg
Venant,Nissan,2017,Automatique,Cité Damel                                                                                 Dakar,9200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d9d370600267682155ed88e65d1168e/-/horizon-files-prod/ed/picture/qzvp5rm8/1dae14ce1fb66c0dffb5b04121a22cef4541c3a0.jpg
Venant,Range ,Rover,2016,Sicap foire                                                                                 Dakar,20500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4c9f48d39b4abb78c0b9b09d63080967/-/horizon-files-prod/ed/picture/qv4wqqdg/660e853811e420dc8f33cb9712febbc304e423a5.jpg
Venant,Range ,Rover,2016,Sicap foire                                                                                 Dakar,20500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b676c60580557d289466580f7160e0d8/-/horizon-files-prod/ed/picture/q0g7zzk8/65ec334900d195a31cd9358a9642d698a67ccac7.jpg
Venant,Hyundai,2017,Automatique,Sicap foire                                                                                 Dakar,6400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eca05d47b5e494718e002cf5e45476fe/-/horizon-files-prod/ed/picture/qm5g9new/a997c9a34d8e657899e1a84e5e156a806c5d46d4.jpg
Neuf,Kia,2016,Automatique,Colobane                                                                                 Dakar,8500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/513fb24db9a200a03e7e01d08e1dd1a6/-/horizon-files-prod/ed/picture/qpdmq84x/7335be876312183bb2f43e3855e937cbc6b566a8.jpg
Neuf,Citroen,2016,Manuelle,Hlm                                                                                 Dakar,4000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f00064ee83ef729667d962ad80501a18/-/horizon-files-prod/ed/picture/q8v4xmrr/28172f94cef500a15ba3acdf602c5d946af37e06.jpg
Réconditionné,Chevrolet,2010,Automatique,Thiès                                                                                 Thiès,2600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c103d0e1d1cf5bf1ca8739c8205618f8/-/horizon-files-prod/ed/picture/qv4wgw95/32e873b71d61d77e7baaf2f539662473ea734626.jpg
Neuf,Ford,2016,Automatique,Cité Damel                                                                                 Dakar,7000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/76dd86d47a5cbbc09c2780365c8b8bf1/-/horizon-files-prod/ed/picture/qm5g9n7w/3b5dbb976afce4230d6c2157bd24f2f7b6f0b2a3.jpg
D'occasion,Nissan,2014,Manuelle,Mbour                                                                                 Thiès,4000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72664661776e5920c25826426a833cf1/-/horizon-files-prod/ed/picture/q9mj6g9v/9c2386d5f7b9c38652418f578b2cb26deffefbf2.jpg
Venant,Kia,2016,Automatique,Parcelles Assainies                                                                                 Dakar,9500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e56d6017a913bb46ba1b174566a0c71c/-/horizon-files-prod/ed/picture/q78wm8e5/536897aaee26b46e29bf560bdd05dea6c5f3092c.jpg
Venant,Toyota,2022,Automatique,Sacré-cœur                                                                                 Dakar,22000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5b0f51b70011c03cbfeca07a7a447bed/-/horizon-files-prod/ed/picture/q0g70d68/2f3d2e6b4f412bd3af0919b609e9d87c1b523d8a.jpg
Neuf,Ford,2012,Automatique,Colobane                                                                                 Dakar,2800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e519135129554722077e478121cb72f5/-/horizon-files-prod/ed/picture/qwep5wxj/8728b7d20a59e545bb8b3033dbf7b6cdcc51217b.jpg
Neuf,Ford,2016,Automatique,Cité Damel                                                                                 Dakar,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abba053f5df78a3c33c48f6613183661/-/horizon-files-prod/ed/picture/q9mj6gzn/d9a0a3c2b5fab461413808681269f6cd0c42b086.jpg
Neuf,Ford,2013,Automatique,Colobane                                                                                 Dakar,3200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a96b593a9312eca8d3f561f109b07cd5/-/horizon-files-prod/ed/picture/q6xd45wd/b97b1eccbab63518aadb1f330d94b3f6dd24dac9.jpg
Venant,Mercedes-,Benz,2020,Sacré-cœur                                                                                 Dakar,36000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0bfbf00b2f46213e4a4b6f609c70390f/-/horizon-files-prod/ed/picture/qxjpeq9m/ca2857cb845fb306057f9a7dac9d070c030ebfbb.jpg
Venant,B,M,W,Liberte 6                                                                                 Dakar,34000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/acf11b6461dea46a1e557df48cc8fbd4/-/horizon-files-prod/ed/picture/q8v4dk0z/15d13d81d41f1edd8e186f5701eda5e30ae526e8.jpg
Venant,B,M,W,Liberte 6 extension                                                                                 Dakar,27000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f63068c2e6c3001b6d44d76cefa12f60/-/horizon-files-prod/ed/picture/qgqwze6n/3d4d98d10c557b40fab3d7721ec38c22fc847a5c.jpg
Venant,Mazda,2017,Automatique,Liberte 6                                                                                 Dakar,11500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c3a054d0f3da81f8a02bbf124788d5c6/-/horizon-files-prod/ed/picture/q0g7ze5w/59b6c64dfda796704c43f971c21707c5c61aa5b2.jpg
D'occasion,Jeep,2014,Automatique,Liberte 6                                                                                 Dakar,8500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/851fd19c12b6bf33821e3318452e3860/-/horizon-files-prod/ed/picture/qkr8q7vv/9846f0e2e58c79f9c4d7573852df1d1c415908f2.jpg
Venant,Ford,2015,Automatique,Mermoz                                                                                 Dakar,6400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1277325dbadfc7b71fb98533e1caf5d6/-/horizon-files-prod/ed/picture/q56d8g25/b8c6491bed6be6a0fad7a4a3655dbfe5c9d76acf.jpg
D'occasion,Nissan,2014,Manuelle,Mbour                                                                                 Thiès,4000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72664661776e5920c25826426a833cf1/-/horizon-files-prod/ed/picture/q9mj6g9v/9c2386d5f7b9c38652418f578b2cb26deffefbf2.jpg
Venant,Kia,2016,Automatique,Parcelles Assainies                                                                                 Dakar,9500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e56d6017a913bb46ba1b174566a0c71c/-/horizon-files-prod/ed/picture/q78wm8e5/536897aaee26b46e29bf560bdd05dea6c5f3092c.jpg
