condition,brand,year,gearbox,adress,price,image-src
Venant,Hyundai,2020.0,Automatique,Grand-Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c31ffd1cece9353c93df18da15b2bf89/-/horizon-files-prod/ed/picture/qrzv56k2/9f5f089d2a6af99f0b0e41cc8d47b0c9349e301e.jpg
Venant,Hyundai,2015.0,Automatique,Grand-Dakar,6 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ada4cdcb95395cec4ce5a1c4cfe7e73b/-/horizon-files-prod/ed/picture/q0gw5kxj/6e9e44a3ecec303c049e10bb7ab583e24b1e44d3.jpg
Venant,Hyundai,2017.0,Automatique,Liberte 6,10 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fdbcfd8b297952e755034ef6e98e128f/-/horizon-files-prod/ed/picture/q6xkne6j/04998f17953060ed710723d3a273a3ecf624ac84.jpg
Neuf,Jeep,2015.0,Automatique,Parcelles Assainies,9 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c68c429e7c3df5aa175e6cd467129620/-/horizon-files-prod/ed/picture/qv4e506w/fef25ba4e1f3aa96aae2cfb764a7607982e1c6b0.jpg
Neuf,Mercedes-Benz,2022.0,Automatique,Almadies,75 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/775b2a1ab1edf5fb7e668b46e6ecb21c/-/horizon-files-prod/ed/picture/q9m92gzv/b422ee5ff95b6c4b6a9b15092a1e5b5214076411.jpg
D'occasion,Mercedes-Benz,2009.0,Automatique,Hann maristes,4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f73f7c369210d5e26d53cd876a578857/-/horizon-files-prod/ed/picture/q4482dwp/6cf4183bf4de94ab97697b12219aff18b1d4bcdb.jpg
Venant,Hyundai,2015.0,Automatique,Parcelles Assainies,12 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/551e04a675212eb587c87b8f779ab774/-/horizon-files-prod/ed/picture/q2jq2v6q/452f20eea007c6e65cd2556f6ab88bd6106c82ea.jpg
D'occasion,Jeep,2021.0,Automatique,Sindia,16 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a1d651ec2ca8dfe2f2115de6a4244fd/-/horizon-files-prod/ed/picture/q8v58v26/0a8eb40349ac3de0f8973abd132e7127dd56f882.jpg
Venant,Hyundai,2017.0,Automatique,Yoff,6 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7175d98a126f4b1941bbe5861e6bc222/-/horizon-files-prod/ed/picture/q0gw6q76/4a074723383e4dd01d6931c3d780babcb82143bb.jpg
Venant,Mercedes-Benz,2016.0,Automatique,Grand-Dakar,28 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c27bc9d4c426f75a43a122a25713cc9a/-/horizon-files-prod/ed/picture/qkrgrp6x/fe6e0fd0e1372ff09f3aca2ae303e13bb19ed824.jpg
D'occasion,Ford,2013.0,Automatique,Yoff,2 350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c6f3b79c817843a221dcb2b4dd1cdae/-/horizon-files-prod/ed/picture/q6xdkmqz/600125ef61219c1a996a9afaa87cc1f0a270ccf1.jpg
Venant,Toyota,2016.0,Automatique,Sacré-cœur,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fbac2d5fa3e5ce8e4c48a71ef0917ba8/-/horizon-files-prod/ed/picture/qxjpzq88/39b945adf0c80b8711ec28520437c31690b44983.jpg
Neuf,Kia,2017.0,Automatique,Nord foire,10 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf95fc265ffb18fc7a6c7a38ff1a993e/-/horizon-files-prod/ed/picture/q2jr2w6q/46dcd9e7c9b848d36c8abdecb32fc1a9e3bca408.jpg
Venant,Hyundai,2015.0,Automatique,Sicap foire,8 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b0ccbcb08e98f07b10cf6782b89511ec/-/horizon-files-prod/ed/picture/qngxqkdg/9c46a185c08d8a257bff1dbe331e3402305989db.jpg
